mass_pair_id,sample_id,comment,substrate,detection,association,peak_height,peak_width,peak_area,peak_position,timestep_01,timestep_02,timestep_03,timestep_04,timestep_05,timestep_06,timestep_07,timestep_08,timestep_09,timestep_10,timestep_11,timestep_12,timestep_13,timestep_14,timestep_15,timestep_16,timestep_17,timestep_18,timestep_19,timestep_20,timestep_21,timestep_22,timestep_23
18,32205,None,BG4,[22],"[7, 8, 14]",431539.09098563856,14.163216984579352,3860210.066804488,13,0.0,0.0,154114.96462203795,201732.33881773427,308322.22086343425,325086.9060079851,351333.4304782455,490486.0586834643,413651.29112887103,451386.0971635566,305604.0514007936,365478.6942171764,290615.0848976963,276809.3211669922,243767.1234046293,260225.40113922488,266576.5309334261,192616.18718783825,221913.3758732439,146862.06821009621,292184.01985407446,220422.2804455125,192746.60627617897
19,32205,None,BG4,[22],"[10, 18, 20]",191629.88826024882,17.28718651714516,1934814.685072341,14,0.0,0.0,32452.29485810887,72881.42999445308,87363.1699831269,127526.66188157689,152783.8646948121,176635.99647118826,183277.91634910757,207672.16726272757,180169.66493420163,181586.23216442624,175407.82946799014,180134.8751576597,161337.8974141641,166383.10652546445,139722.30593789706,158490.76527062326,148649.54694093356,123918.84044981001,124317.41315169768,108036.92432685332,106333.7384243445
20,32205,None,BG4,[22],"[3, 10, 18, 20]",747927.4261362208,15.603290513117434,6699563.346397988,15,0.0,0.0,10757.27336302257,133945.8864862351,313634.8982049851,385431.45456659223,556810.9271298363,686950.5006045387,689997.2295517694,747579.3043619791,765128.6466238839,759530.6337890625,644138.0515718006,626126.8832310267,608345.6266276041,534345.5167875744,499635.8994373139,480753.2193312872,425313.9898158482,411563.15912155877,371879.9790736607,390868.47958519345,323867.5864315941
21,32205,None,BG4,[22],"[11, 18]",3372.0469966252012,16.861887652273264,31376.33873342203,16,0.0,0.0,699.3883907823677,1935.4949892342806,2069.4211936858765,2643.691337493529,1283.1470748717527,4389.267457157732,2317.5220564876695,2726.7954020672532,2186.8013335078595,4889.069469222104,2425.8188624324566,2491.4502000004413,2811.545124099915,3023.1194993329336,1656.787307555417,2304.2883736484023,1738.1977914097797,2819.93672897155,941.623919383589,1960.1084830042828,1201.5549467155731
22,32205,None,BG4,[22],"[0, 2, 10, 21]",146227.40299688384,11.434822660990857,1221254.8490084212,9,0.0,0.0,38641.962070092915,157355.6274397315,163275.3029407408,137189.94998280593,130894.75035951195,145731.10036356855,140697.8939318773,111770.32796087499,118736.64068473259,106224.24223141554,88391.48750759916,72968.31967535253,67897.11735590493,70246.85347598937,60301.8499143647,54594.22171020508,45895.43560370003,51917.27705708945,42391.72829130219,41253.050310088365,37633.60854309361
23,32205,None,BG4,[22],"[0, 2, 10, 21]",16631.797486316227,13.989813948164464,145929.91877872095,13,0.0,148.75113724499215,3222.0623666716783,6307.2746250803875,11484.60759046601,20491.679523933224,12715.2106390232,14711.729030818475,18212.67606907356,17262.61918919261,14535.416868070277,14469.125408265649,9859.496061278553,7925.905266552436,12147.461255841139,9485.475757505836,8276.983556421792,8986.970818124166,8289.55213425799,5301.388520775772,7986.453438735589,3909.859320291659,10194.485065181081
24,32205,None,BG4,[22],[17],17599.881673841162,10.283432936087793,138445.61950396135,10,0.0,0.0,4811.401521075856,12044.125641345978,22839.774487538773,16843.932456840168,16227.668891538273,13135.805261872032,10033.011444872076,12088.618996620178,9333.152415448969,10653.845434882425,11623.772084279493,4719.3474828546705,10694.494559678165,10602.006808541038,2784.7138777212667,3556.5991136377515,5857.569218115374,9273.205716479908,11121.641820560802,12313.245250441812,3333.072629495101
25,32205,None,BG4,[22],"[0, 2, 21]",6015.579440988377,6.099503292727123,36023.95740922836,13,0.0,0.0,499.51824276535604,1119.470531510718,3827.565723748855,1950.5163140944492,3591.950226018458,5285.601541024667,7865.361656353797,4932.132828394572,3421.6760803034276,3909.509685751833,1405.9258910756053,1618.1619497228553,3830.8048398995106,3108.879688404225,2492.346378467701,2530.676614266855,598.7174701455197,6.192540675033797,1080.904396151319,1092.6559713858146,1458.897752738293
26,32205,None,BG4,[22],"[0, 2, 21]",12682.6046591845,16.155151349993734,115385.77180318018,12,0.0,0.0,2043.9465239724993,6753.340799025547,7817.276224583755,4256.447314415449,13959.929288887684,13673.217157434534,12848.828182809148,7351.66953249331,17505.2042851036,7063.542811452607,11044.932814798238,10656.987083435059,7745.999303747107,8923.907212857846,6925.137251112196,6984.576740782938,8260.323190347648,6867.861033781075,5319.5940350191095,7093.994868714132,5452.38434440707
27,32205,None,BG4,[22],[7],5325.8433553765535,8.8386344745289,33191.4923965562,12,0.0,0.0,0.0,0.0,61.77869890998409,1120.7147412804995,5999.222275767606,6689.644813358082,3901.2593443253463,3370.6980546839095,4083.9524723726163,4107.034811132095,6176.566374027027,4953.455923461914,1456.9298737469842,1920.0658794627473,1236.2332513248218,975.8901269183441,611.0661753037396,0.0,3342.0017314237703,0.0,1216.1734004301186
